{'loss': 0.3024, 'grad_norm': 11.106904983520508, 'learning_rate': 6.000000000000001e-07, 'epoch': 0.01}
{'loss': 0.3555, 'grad_norm': 250.9245147705078, 'learning_rate': 1.26e-05, 'epoch': 0.17}
{'loss': 0.1353, 'grad_norm': 0.12816199660301208, 'learning_rate': 1.32e-05, 'epoch': 0.18}
{'loss': 0.056, 'grad_norm': 6.101557731628418, 'learning_rate': 1.3800000000000002e-05, 'epoch': 0.18}
{'loss': 0.272, 'grad_norm': 0.0907059833407402, 'learning_rate': 1.44e-05, 'epoch': 0.19}
{'loss': 0.2008, 'grad_norm': 9.206008911132812, 'learning_rate': 1.5e-05, 'epoch': 0.2}
{'loss': 0.2209, 'grad_norm': 372.4459228515625, 'learning_rate': 1.56e-05, 'epoch': 0.21}
{'loss': 0.1888, 'grad_norm': 0.3088133931159973, 'learning_rate': 1.62e-05, 'epoch': 0.22}
{'loss': 0.0405, 'grad_norm': 82.90615844726562, 'learning_rate': 1.6800000000000002e-05, 'epoch': 0.22}
{'loss': 0.4294, 'grad_norm': 154.4868621826172, 'learning_rate': 1.74e-05, 'epoch': 0.23}
{'loss': 0.143, 'grad_norm': 0.04506893455982208, 'learning_rate': 1.8e-05, 'epoch': 0.24}
{'loss': 0.314, 'grad_norm': 15.798666954040527, 'learning_rate': 1.86e-05, 'epoch': 0.25}
{'loss': 0.3948, 'grad_norm': 128.98074340820312, 'learning_rate': 1.9200000000000003e-05, 'epoch': 0.26}
{'loss': 0.2183, 'grad_norm': 3.0960323810577393, 'learning_rate': 1.98e-05, 'epoch': 0.26}
{'loss': 0.2284, 'grad_norm': 3.6394412517547607, 'learning_rate': 2.04e-05, 'epoch': 0.27}
{'loss': 0.0639, 'grad_norm': 20.184375762939453, 'learning_rate': 2.1e-05, 'epoch': 0.28}
{'loss': 0.1312, 'grad_norm': 3.323911666870117, 'learning_rate': 2.16e-05, 'epoch': 0.29}
{'loss': 0.3763, 'grad_norm': 9.088285446166992, 'learning_rate': 2.22e-05, 'epoch': 0.3}
{'loss': 0.1936, 'grad_norm': 6.484950542449951, 'learning_rate': 2.2800000000000002e-05, 'epoch': 0.3}
{'loss': 0.1103, 'grad_norm': 74.7759780883789, 'learning_rate': 2.3400000000000003e-05, 'epoch': 0.31}
{'loss': 0.3906, 'grad_norm': 3.569322347640991, 'learning_rate': 2.4e-05, 'epoch': 0.32}
{'loss': 0.2856, 'grad_norm': 0.3460419178009033, 'learning_rate': 2.4599999999999998e-05, 'epoch': 0.33}
{'loss': 0.1109, 'grad_norm': 0.2505742907524109, 'learning_rate': 2.52e-05, 'epoch': 0.34}
{'loss': 0.0092, 'grad_norm': 88.56847381591797, 'learning_rate': 2.58e-05, 'epoch': 0.34}
{'loss': 0.2258, 'grad_norm': 0.04263331741094589, 'learning_rate': 2.64e-05, 'epoch': 0.35}
{'loss': 0.3354, 'grad_norm': 0.08897106349468231, 'learning_rate': 2.7000000000000002e-05, 'epoch': 0.36}
{'loss': 0.327, 'grad_norm': 67.93247985839844, 'learning_rate': 2.7600000000000003e-05, 'epoch': 0.37}
{'loss': 0.1921, 'grad_norm': 73.70772552490234, 'learning_rate': 2.8199999999999998e-05, 'epoch': 0.38}
{'loss': 0.3466, 'grad_norm': 0.14078399538993835, 'learning_rate': 2.88e-05, 'epoch': 0.38}
{'loss': 0.008, 'grad_norm': 2.4194462299346924, 'learning_rate': 2.94e-05, 'epoch': 0.39}
{'loss': 0.1251, 'grad_norm': 0.03905407339334488, 'learning_rate': 3e-05, 'epoch': 0.4}
{'loss': 0.2286, 'grad_norm': 4.303301811218262, 'learning_rate': 2.96e-05, 'epoch': 0.41}
{'loss': 0.3126, 'grad_norm': 10.594586372375488, 'learning_rate': 2.92e-05, 'epoch': 0.42}
{'loss': 0.2672, 'grad_norm': 0.21889875829219818, 'learning_rate': 2.88e-05, 'epoch': 0.42}
{'loss': 0.1699, 'grad_norm': 0.8872957825660706, 'learning_rate': 2.84e-05, 'epoch': 0.43}
{'loss': 0.1232, 'grad_norm': 0.1029587984085083, 'learning_rate': 2.8e-05, 'epoch': 0.44}
{'loss': 0.1738, 'grad_norm': 0.13785719871520996, 'learning_rate': 2.7600000000000003e-05, 'epoch': 0.45}
{'loss': 0.1248, 'grad_norm': 26.361949920654297, 'learning_rate': 2.72e-05, 'epoch': 0.46}
{'loss': 0.2693, 'grad_norm': 0.038467440754175186, 'learning_rate': 2.68e-05, 'epoch': 0.46}
{'loss': 0.2492, 'grad_norm': 0.04900401085615158, 'learning_rate': 2.64e-05, 'epoch': 0.47}
{'loss': 0.2641, 'grad_norm': 1.8868156671524048, 'learning_rate': 2.6000000000000002e-05, 'epoch': 0.48}
{'loss': 0.2731, 'grad_norm': 0.12332446128129959, 'learning_rate': 2.5600000000000002e-05, 'epoch': 0.49}
{'loss': 0.0927, 'grad_norm': 0.41910746693611145, 'learning_rate': 2.52e-05, 'epoch': 0.5}
{'loss': 0.1643, 'grad_norm': 0.03471796214580536, 'learning_rate': 2.48e-05, 'epoch': 0.5}
{'loss': 0.3408, 'grad_norm': 132.27427673339844, 'learning_rate': 2.44e-05, 'epoch': 0.51}
{'loss': 0.3329, 'grad_norm': 34.539249420166016, 'learning_rate': 2.4e-05, 'epoch': 0.52}
{'loss': 0.0757, 'grad_norm': 0.09505312144756317, 'learning_rate': 2.3599999999999998e-05, 'epoch': 0.53}
{'loss': 0.1717, 'grad_norm': 0.1401265561580658, 'learning_rate': 2.32e-05, 'epoch': 0.54}
{'loss': 0.125, 'grad_norm': 5.4879326820373535, 'learning_rate': 2.2800000000000002e-05, 'epoch': 0.54}
{'loss': 0.1064, 'grad_norm': 0.08188281208276749, 'learning_rate': 2.2400000000000002e-05, 'epoch': 0.55}
{'loss': 0.2092, 'grad_norm': 0.12131788581609726, 'learning_rate': 2.2e-05, 'epoch': 0.56}
{'loss': 0.2575, 'grad_norm': 0.6995033621788025, 'learning_rate': 2.16e-05, 'epoch': 0.57}
{'loss': 0.1659, 'grad_norm': 30.505346298217773, 'learning_rate': 2.12e-05, 'epoch': 0.58}
{'loss': 0.2818, 'grad_norm': 0.2074231207370758, 'learning_rate': 2.08e-05, 'epoch': 0.58}
{'loss': 0.1748, 'grad_norm': 0.7458495497703552, 'learning_rate': 2.04e-05, 'epoch': 0.59}
{'loss': 0.2538, 'grad_norm': 2.187697649002075, 'learning_rate': 1.9999999999999998e-05, 'epoch': 0.6}
{'loss': 0.1883, 'grad_norm': 0.11647342890501022, 'learning_rate': 1.96e-05, 'epoch': 0.61}
{'loss': 0.0587, 'grad_norm': 0.046571046113967896, 'learning_rate': 1.9200000000000003e-05, 'epoch': 0.62}
{'loss': 0.1124, 'grad_norm': 34.632625579833984, 'learning_rate': 1.8800000000000003e-05, 'epoch': 0.62}
{'loss': 0.1244, 'grad_norm': 0.34837689995765686, 'learning_rate': 1.84e-05, 'epoch': 0.63}
{'loss': 0.4028, 'grad_norm': 22.915613174438477, 'learning_rate': 1.8e-05, 'epoch': 0.64}
{'loss': 0.096, 'grad_norm': 0.5883103609085083, 'learning_rate': 1.76e-05, 'epoch': 0.65}
{'loss': 0.1154, 'grad_norm': 3.8877060413360596, 'learning_rate': 1.72e-05, 'epoch': 0.66}
{'loss': 0.1022, 'grad_norm': 0.08580261468887329, 'learning_rate': 1.6800000000000002e-05, 'epoch': 0.66}
{'loss': 0.0014, 'grad_norm': 0.021349968388676643, 'learning_rate': 1.64e-05, 'epoch': 0.67}
{'loss': 0.4508, 'grad_norm': 0.10746350139379501, 'learning_rate': 1.6e-05, 'epoch': 0.68}
{'loss': 0.361, 'grad_norm': 0.0692872628569603, 'learning_rate': 1.56e-05, 'epoch': 0.69}
{'loss': 0.2719, 'grad_norm': 0.052301183342933655, 'learning_rate': 1.5200000000000002e-05, 'epoch': 0.7}
{'loss': 0.2408, 'grad_norm': 28.03105354309082, 'learning_rate': 1.48e-05, 'epoch': 0.7}
{'loss': 0.3655, 'grad_norm': 0.340158611536026, 'learning_rate': 1.44e-05, 'epoch': 0.71}
{'loss': 0.3732, 'grad_norm': 49.68403244018555, 'learning_rate': 1.4e-05, 'epoch': 0.72}
{'loss': 0.0311, 'grad_norm': 0.6281230449676514, 'learning_rate': 1.36e-05, 'epoch': 0.73}
{'loss': 0.2197, 'grad_norm': 18.266271591186523, 'learning_rate': 1.32e-05, 'epoch': 0.74}
{'loss': 0.6351, 'grad_norm': 18.925199508666992, 'learning_rate': 1.2800000000000001e-05, 'epoch': 0.74}
{'loss': 0.2294, 'grad_norm': 27.345979690551758, 'learning_rate': 1.24e-05, 'epoch': 0.75}
{'loss': 0.1893, 'grad_norm': 30.905672073364258, 'learning_rate': 1.2e-05, 'epoch': 0.76}
{'loss': 0.2871, 'grad_norm': 8.172067642211914, 'learning_rate': 1.16e-05, 'epoch': 0.77}
{'loss': 0.2278, 'grad_norm': 29.32564926147461, 'learning_rate': 1.1200000000000001e-05, 'epoch': 0.78}
{'loss': 0.3172, 'grad_norm': 8.47907829284668, 'learning_rate': 1.08e-05, 'epoch': 0.78}
{'loss': 0.157, 'grad_norm': 1.3291773796081543, 'learning_rate': 1.04e-05, 'epoch': 0.79}
{'loss': 0.0992, 'grad_norm': 0.6987977027893066, 'learning_rate': 9.999999999999999e-06, 'epoch': 0.8}
{'loss': 0.0558, 'grad_norm': 53.506839752197266, 'learning_rate': 9.600000000000001e-06, 'epoch': 0.81}
{'loss': 0.1957, 'grad_norm': 226.25572204589844, 'learning_rate': 9.2e-06, 'epoch': 0.82}
{'loss': 0.1112, 'grad_norm': 16.1708927154541, 'learning_rate': 8.8e-06, 'epoch': 0.82}
{'loss': 0.3034, 'grad_norm': 14.367956161499023, 'learning_rate': 8.400000000000001e-06, 'epoch': 0.83}
{'loss': 0.2087, 'grad_norm': 0.04110453650355339, 'learning_rate': 8e-06, 'epoch': 0.84}
{'loss': 0.0844, 'grad_norm': 262.24365234375, 'learning_rate': 7.600000000000001e-06, 'epoch': 0.85}
{'loss': 0.1098, 'grad_norm': 0.05021677538752556, 'learning_rate': 7.2e-06, 'epoch': 0.86}
{'loss': 0.0624, 'grad_norm': 112.50241088867188, 'learning_rate': 6.8e-06, 'epoch': 0.86}
{'loss': 0.2328, 'grad_norm': 2.138064384460449, 'learning_rate': 6.4000000000000006e-06, 'epoch': 0.87}
{'loss': 0.0687, 'grad_norm': 0.04693412035703659, 'learning_rate': 6e-06, 'epoch': 0.88}
{'loss': 0.2568, 'grad_norm': 0.023694118484854698, 'learning_rate': 5.600000000000001e-06, 'epoch': 0.89}
{'loss': 0.2271, 'grad_norm': 0.0647185891866684, 'learning_rate': 5.2e-06, 'epoch': 0.9}
{'loss': 0.1017, 'grad_norm': 0.059087496250867844, 'learning_rate': 4.800000000000001e-06, 'epoch': 0.9}
{'loss': 0.1484, 'grad_norm': 0.7296398878097534, 'learning_rate': 4.4e-06, 'epoch': 0.91}
{'loss': 0.2169, 'grad_norm': 0.04634935408830643, 'learning_rate': 4e-06, 'epoch': 0.92}
{'loss': 0.2725, 'grad_norm': 13.726868629455566, 'learning_rate': 3.6e-06, 'epoch': 0.93}
{'loss': 0.1151, 'grad_norm': 164.2289581298828, 'learning_rate': 3.2000000000000003e-06, 'epoch': 0.94}
{'loss': 0.5997, 'grad_norm': 0.09689171612262726, 'learning_rate': 2.8000000000000003e-06, 'epoch': 0.94}
{'loss': 0.1982, 'grad_norm': 0.14346647262573242, 'learning_rate': 2.4000000000000003e-06, 'epoch': 0.95}
{'loss': 0.2829, 'grad_norm': 78.62088775634766, 'learning_rate': 2e-06, 'epoch': 0.96}
{'loss': 0.2, 'grad_norm': 6.8653883934021, 'learning_rate': 1.6000000000000001e-06, 'epoch': 0.97}
{'loss': 0.0847, 'grad_norm': 3.0410549640655518, 'learning_rate': 1.2000000000000002e-06, 'epoch': 0.98}
{'loss': 0.404, 'grad_norm': 87.83030700683594, 'learning_rate': 8.000000000000001e-07, 'epoch': 0.98}
{'loss': 0.1879, 'grad_norm': 235.78163146972656, 'learning_rate': 4.0000000000000003e-07, 'epoch': 0.99}
{'loss': 0.1836, 'grad_norm': 0.17043964564800262, 'learning_rate': 0.0, 'epoch': 1.0}

{'eval_loss': 0.49893689155578613, 'eval_accuracy': 0.89, 'eval_f1': 0.8888888888888888, 'eval_runtime': 21.2153, 'eval_samples_per_second': 94.272, 'eval_steps_per_second': 11.784, 'epoch': 1.0}
{'train_runtime': 431.0828, 'train_samples_per_second': 23.197, 'train_steps_per_second': 2.9, 'train_loss': 0.21175444881767033, 'epoch': 1.0}

Evaluation results: {'eval_loss': 0.49893689155578613, 'eval_accuracy': 0.89, 'eval_f1': 0.8888888888888888, 'eval_runtime': 21.02, 'eval_samples_per_second': 95.147, 'eval_steps_per_second': 11.893, 'epoch': 1.0}
